Channel 0:
-0.21402864 -0.108166516
-0.23017819 -0.0789115
-0.2624773 -0.020401467
-0.29179344 0.02876172
-0.3181266 0.068578064
-0.33691907 0.1216341
-0.34817088 0.18792985
-0.35102996 0.23654047
-0.34549627 0.26746595
-0.34819698 0.2793169
-0.35913217 0.27209333
-0.38681853 0.2799186
-0.43125606 0.30279276
-0.45203963 0.29896387
-0.4491693 0.2684319
-0.41869342 0.24998719
-0.36061195 0.2436297
-0.35079813 0.26917207
-0.38925192 0.3266144
-0.40343451 0.369527
-0.3933459 0.39790994
-0.38737056 0.40571648
-0.38550854 0.3929466
-0.4262876 0.39546645
-0.50970775 0.41327614
-0.5879952 0.44030967
-0.66114986 0.47656715
-0.7028755 0.5031069
-0.713172 0.51992893
-0.717887 0.5227465
-0.7170204 0.51155967
-0.7608507 0.52480114
-0.849378 0.5624708
-0.96793973 0.5844205
-1.1165359 0.5906501
-1.2099062 0.58837354
-1.2480506 0.5775908
-1.2522385 0.5912007
-1.2224698 0.629203
-1.1966206 0.6458747
-1.1746907 0.6412157
-1.1617477 0.63556635
-1.1577917 0.6289267
-1.1713169 0.6300883
-1.2023232 0.6390514
-1.2507126 0.63136125
-1.3164852 0.6070178
-1.3796949 0.5906569
-1.4403421 0.58227855
-1.4664296 0.55743647
-1.4579575 0.5161306
-1.450274 0.5150803
-1.4433794 0.5542854
-1.4197267 0.6052631
-1.3793159 0.66801333
-1.3610791 0.7046132
-1.3650163 0.71506286
-1.3707224 0.692769
-1.3781972 0.6377317
-1.3804991 0.60173965
-1.3776282 0.58479273
-1.392698 0.5600261
-1.4257089 0.52743965
-1.4410305 0.5180203
-1.4386632 0.5317681
-1.4010997 0.5628984
-1.32834 0.61141145
-1.2797024 0.6307657
-1.2551866 0.62096107
-1.2160208 0.6270113
-1.1622047 0.64891636
-1.1291318 0.68746746
-1.1168017 0.7426646
-1.1247417 0.7632842
-1.1529515 0.74932617
-1.1587253 0.7420746
-1.142063 0.74152946
-1.144711 0.74263704
-1.1666696 0.74539745
-1.1818533 0.7647894
-1.1902626 0.8008128
-1.183356 0.8152925
-1.1611339 0.8082286
-1.1523676 0.79341936
-1.1570573 0.7708646
-1.146733 0.74298954
-1.121395 0.7097943
-1.0900303 0.67221135
-1.0526388 0.6302408
-1.0657768 0.61165327
-1.1294442 0.61644864
-1.1694561 0.6321545
-1.1858124 0.6587708
-1.240613 0.6604816
-1.333858 0.6372868
-1.3829601 0.6152974
-1.387919 0.5945134
-1.3621355 0.56902933
-1.30561 0.5388452
-1.325171 0.54431456
-1.4208187 0.58543754
-1.4794465 0.6054292
-1.5010548 0.6042894
-1.488472 0.60163224
-1.4416986 0.59745765
-1.3992163 0.58116686
-1.3610255 0.5527601
-1.3270701 0.525712
-1.29735 0.50002265
-1.2832038 0.4888791
-1.2846315 0.49228132
-1.2930255 0.49494088
-1.3083856 0.4968578
-1.304355 0.5018934
-1.2809334 0.5100476
-1.2477034 0.50785387
-1.2046651 0.4953121
-1.1799513 0.48530257
-1.173562 0.4778253
-1.16801 0.47327548
-1.1632953 0.47165313
-1.166447 0.46910125
-1.1774657 0.46561992
-1.1866909 0.4661712
-1.1941229 0.4707552
-1.1723722 0.48403528
-1.1214389 0.5060115
-1.0841516 0.5226997
-1.0605106 0.53409994
-1.0554789 0.54384756
-1.0690567 0.55194247
