Channel 0:
-0.21427393 -0.10823271
-0.23042572 -0.07899825
-0.2627293 -0.020529334
-0.2920504 0.028642219
-0.31838903 0.0685164
-0.33720607 0.12161519
-0.3485015 0.18793854
-0.3513897 0.2365628
-0.34587064 0.26748794
-0.34856915 0.27936327
-0.35948518 0.27218875
-0.38716906 0.27994537
-0.43162078 0.30263308
-0.4523206 0.29878289
-0.44926858 0.26839477
-0.4187334 0.25002295
-0.36071503 0.24366738
-0.35091335 0.26918036
-0.38932836 0.32656187
-0.40344733 0.36943567
-0.39327013 0.39780176
-0.38727623 0.40564805
-0.3854656 0.39297453
-0.42632893 0.3955471
-0.50986624 0.4133657
-0.58813936 0.44041353
-0.6611483 0.47669053
-0.7028024 0.50318664
-0.7131015 0.51990175
-0.71780425 0.52268744
-0.7169106 0.5115437
-0.76062113 0.5247827
-0.84893596 0.5624044
-0.9673611 0.58432484
-1.1158962 0.590544
-1.2091968 0.5883144
-1.2472627 0.57763624
-1.2514892 0.59124804
-1.2218764 0.62915
-1.196124 0.64581347
-1.1742321 0.64123863
-1.1613033 0.63562787
-1.1573372 0.62898135
-1.1707896 0.63013774
-1.2016604 0.63909715
-1.2500514 0.631398
-1.3159627 0.6070404
-1.379294 0.59065646
-1.4400456 0.5822463
-1.466176 0.55738276
-1.4576848 0.51606584
-1.4501256 0.5149913
-1.4434983 0.55415905
-1.4198878 0.6051488
-1.3792942 0.6679605
-1.3609422 0.7045925
-1.3648319 0.7150448
-1.3704745 0.6927376
-1.3778697 0.63767076
-1.3801577 0.6016742
-1.3773386 0.58474785
-1.3923893 0.56000525
-1.4253099 0.5274464
-1.4406374 0.5180199
-1.4383718 0.5317257
-1.4008176 0.56283396
-1.327975 0.61134464
-1.2793869 0.6307195
-1.2550529 0.62095857
-1.2159214 0.6270343
-1.1619925 0.6489468
-1.1288754 0.68748385
-1.1165701 0.7426454
-1.1244996 0.76325274
-1.1526638 0.74930584
-1.158421 0.7420768
-1.141771 0.7415657
-1.144402 0.7426734
-1.1663141 0.74539995
-1.1814485 0.7647663
-1.1898048 0.8007723
-1.1829066 0.81520534
-1.1607536 0.8080653
-1.1520475 0.7932206
-1.1567882 0.77067125
-1.1464556 0.74278224
-1.1210496 0.7095537
-1.089656 0.6719533
-1.0522745 0.6299813
-1.0653849 0.61140704
-1.128987 0.6162306
-1.1689858 0.6319349
-1.1853817 0.65851974
-1.2401968 0.6601958
-1.3334317 0.63696295
-1.3825115 0.6149806
-1.3874363 0.5942488
-1.3616631 0.5687821
-1.305192 0.53858066
-1.3249116 0.54409504
-1.4208214 0.5853252
-1.4795736 0.6054086
-1.501168 0.60434526
-1.4885353 0.60175085
-1.4416757 0.5976253
-1.3991435 0.5813663
-1.3609383 0.55297375
-1.3269621 0.52593774
-1.2972149 0.50025845
-1.2830558 0.48910913
-1.2844851 0.4924898
-1.2928966 0.49509686
-1.3082907 0.4969302
-1.3043054 0.50194484
-1.2809408 0.5101407
-1.2476978 0.50800174
-1.2045763 0.49552798
-1.1798341 0.48554486
-1.1734715 0.4780524
-1.167892 0.47348166
-1.1630957 0.4718326
-1.1662197 0.46925604
-1.1772637 0.465752
-1.1865009 0.4662589
-1.1939311 0.4707768
-1.1722295 0.48403016
-1.1213961 0.50601906
-1.0841675 0.522717
-1.0605435 0.53412414
-1.0554653 0.543835
-1.0689328 0.5518496
-1.0877676 0.57300234
-1.1119698 0.6072932
-1.1420052 0.64030176
-1.1778736 0.6720281
-1.1931748 0.6963372
-1.1879088 0.71322894
-1.1856573 0.7553007
-1.1864206 0.8225523
-1.2049989 0.8926194
-1.2413921 0.9655018
-1.2975222 1.0566298
-1.3733891 1.1660032
-1.4181386 1.2512991
-1.4317708 1.3125174
-1.4367006 1.3520077
-1.4329281 1.3697705
-1.4480883 1.3599646
-1.4821813 1.3225901
-1.5197613 1.3033919
-1.5608282 1.3023702
-1.5745108 1.2897724
-1.5608087 1.2655983
-1.5775838 1.2338982
-1.6248357 1.1946719
-1.6627458 1.1608813
-1.6913139 1.1325263
-1.7101474 1.093854
-1.7192466 1.0448639
-1.7249686 1.0222906
-1.7273133 1.0261337
-1.7256982 1.026637
-1.7201232 1.0238005
-1.696812 1.0012616
-1.6557646 0.9590203
-1.6400254 0.9258519
-1.6495942 0.9017563
-1.6522343 0.88336444
-1.6479456 0.87067616
-1.6241654 0.8672045
-1.5808939 0.87294936
-1.5263608 0.8595009
-1.4605658 0.8268592
-1.3683496 0.81538975
-1.2497123 0.8250927
-1.139262 0.83056885
-1.0369985 0.8318182
-0.9631694 0.81900054
-0.9177749 0.79211575
-0.8918424 0.7678007
-0.88537204 0.7460556
-0.8879966 0.7308043
-0.89971626 0.7220469
-0.9071087 0.70006955
-0.910174 0.66487217
-0.88456935 0.6593899
-0.8302947 0.68362266
-0.8090496 0.7106569
-0.82083404 0.7404925
-0.8552366 0.70814544
-0.9122572 0.61361563
-0.9328271 0.5573949
-0.91694665 0.5394833
-0.9263222 0.5137588
-0.9609539 0.48022142
-0.9933589 0.46256295
-1.0235373 0.46078336
-1.0415941 0.46466997
-1.0475295 0.4742229
-1.0714848 0.4992048
-1.1134605 0.53961575
-1.1846595 0.5304722
-1.2850821 0.47177422
-1.3339967 0.42684293
-1.3314034 0.39567834
-1.3366072 0.38530415
-1.349608 0.39572048
-1.3736819 0.40018597
-1.408829 0.39870065
-1.5088075 0.41280466
-1.6736177 0.44249797
-1.7971537 0.48953882
-1.8794158 0.55392724
-1.9180222 0.60278404
-1.9129732 0.63610935
-1.9145179 0.66390514
